Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Code of the Duelist,,Common,Three Strikes Barrier,,Trap,,,,,,,,,,
Pharaonic Guardian,,Short Print,Ordeal of a Traveler,,Trap,,,,,,,,,,
Ancient Sanctuary,,Common,Soul Reversal,,Spell,,,,,,,,,,
Judgment of the Light,,Rare,Number 102: Star Seraph Sentry,,Monster,LIGHT,Fairy / Xyz / Effect,,2500 / 2000,4,,,,,
Dimension Force,,Common,Colonel on C-String,,Monster,LIGHT,Warrior / Effect,4,1400 / 1600,,,,,,
Extreme Victory,,Rare,Full House,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Super Rare,Celtic Guardian,,Monster,EARTH,Warrior / Normal,4,1400 / 1200,,,,,,
Absolute Powerforce,,Rare,Skull Conductor,Skull Collector,Monster,DARK,Zombie / Effect,4,2000 / 0,,,,,,
Clash of Rebellions,,Rare,Extra Buck,,Trap,,,,,,,,,,
Invasion of Chaos,,Rare,Drillago,,Monster,DARK,Machine / Effect,4,1600 / 1100,,,,,,
Chaos Impact,,Rare,Unchained Twins - Rakea,,Monster,WATER,Fiend / Effect,3,1500 / 1500,,,,,,
Absolute Powerforce,,Short Print,Consecrated Light,,Monster,LIGHT,Fairy / Effect,1,0 / 0,,,,,,
Shining Victories,,Common,Deskbot Base,,Spell,,,,,,,,,,
Metal Raiders,,Common,Big Eye,,Monster,DARK,Fiend / Effect,4,1200 / 1000,,,,,,
Chaos Impact,,Common,"World Legacy - ""World Key""",,Monster,DARK,Machine / Effect,1,0 / 0,,,,,,
Primal Origin,,Secret Rare,Majesty's Fiend,,Monster,LIGHT,Fiend / Effect,6,2400 / 1000,,,,,,
Ignition Assault,,Common,Execution of the Contract,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Vision HERO Faris,,Monster,DARK,Warrior / Effect,5,1600 / 1800,,,,,,
Spell Ruler,,Common,Spear Cretin,,Monster,DARK,Fiend / Effect,2,500 / 500,,,,,,
Strike of Neos,,Common,Marionette Mite,,Monster,DARK,Insect / Effect,3,1000 / 1000,,,,,,
Maximum Gold,,Premium Gold Rare,Martial Metal Marcher,,Monster,WIND,Machine / Synchro / Tuner / Effect,3,500 / 2200,,,,,,
Circuit Break,,Secret Rare,Borreload Dragon,,Monster,DARK,Dragon / Link / Effect,,,,,,,,
Generation Force,,Secret Rare,Steelswarm Roach,,Monster,DARK,Fiend / Xyz / Effect,,1900 / 0,4,,,,,
Crimson Crisis,,Rare,Flying Fortress SKY FIRE,,Monster,WIND,Machine / Effect,8,3000 / 2500,,,,,,
Shadow Specters,,Rare,Secret Sanctuary of the Spellcasters,,Spell,,,,,,,,,,
Flames of Destruction,,Secret Rare,Knightmare Gryphon,,Monster,LIGHT,Fiend / Link / Effect,,,,,,,,
Magician's Force,,Common,Great Angus,,Monster,FIRE,Beast,4,1800 / 600,,,,,,
The Dark Illusion,,Common,Black Dragon Ninja,,Monster,DARK,Beast / Effect,7,2800 / 1600,,,,,,
Primal Origin,,Short Print,Starduston,,Monster,DARK,Fiend / Effect,1,? / ?,,,,,,
Rising Rampage,,Common,Yosenju Wind Worship,,Spell,,,,,,,,,,
The Duelist Genesis,,Common,Needlebug Nest,,Trap,,,,,,,,,,
Rising Rampage,,Common,Grid Rod,,Spell,,,,,,,,,,
Extreme Victory,,Rare,TGX3-DX2,,Trap,,,,,,,,,,
The Lost Millennium,,Common,Aussa the Earth Charmer,,Monster,EARTH,Spellcaster / Flip / Effect,3,500 / 1500,,,,,,
Duelist Revolution,,Common,Earthquake Giant,,Monster,EARTH,Rock / Effect,5,1600 / 2100,,,,,,
Maximum Gold,,Rare,Mecha Phantom Beast Blue Impala,,Monster,WIND,Machine / Tuner / Effect,3,1400 / 1100,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Great Mammoth of Goldfine,,Monster,DARK,Zombie / Fusion,6,2200 / 1800,,,,,,
Ancient Prophecy,,Rare,Jester Lord,,Monster,DARK,Spellcaster / Effect,1,0 / 0,,,,,,
Light of Destruction,,Common,Hero Mask,,Spell,,,,,,,,,,
Maximum Gold,,Rare,Unexpected Dai,,Spell,,,,,,,,,,
The Lost Millennium,,Common,Final Ritual of the Ancients,,Spell,,,,,,,,,,
Cybernetic Revolution,,Super Rare,Cybernetic Magician,,Monster,LIGHT,Spellcaster / Effect,6,2400 / 1000,,,,,,
Secrets of Eternity,,Ultra Rare,Rune-Eyes Pendulum Dragon,,Monster,DARK,Dragon / Fusion / Effect,8,3000 / 2000,,,,,,
Shadow Specters,,Common,Mecha Phantom Beast Sabre Hawk,,Monster,WIND,Machine / Effect,4,2100 / 100,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Fissure,,Spell,,,,,,,,,,
Storm of Ragnarok,,Rare,Stardust Phantom,,Monster,LIGHT,Spellcaster / Effect,1,0 / 0,,,,,,
Maximum Crisis ,,Common,Speedroid Skull Marbles,,Monster,WIND,Machine / Effect,7,0 / 3000,,,,,,
Soul Fusion,,Common,Galaxy Cleric,,Monster,LIGHT,Spellcaster / Effect,4,1500 / 600,,,,,,
Return of the Duelist,,Ultra Rare,Heroic Champion - Excalibur,,Monster,LIGHT,Warrior / Xyz / Effect,,2000 / 2000,4,,,,,
The Dark Illusion,,Common,Red Gardna,,Monster,FIRE,Fiend / Effect,4,0 / 2000,,,,,,
Starstrike Blast,,Rare,Formula Synchron,,Monster,LIGHT,Machine / Synchro / Tuner / Effect,2,200 / 1500,,,,,,
Spell Ruler,,Common,Penguin Knight,,Monster,WATER,Aqua / Effect,3,900 / 800,,,,,,
Photon Shockwave,,Rare,Evolsaur Vulcano,,Monster,FIRE,Dinosaur / Effect,4,1200 / 1000,,,,,,
Flaming Eternity,,Rare,Forced Ceasefire,,Trap,,,,,,,,,,
Clash of Rebellions,,Common,Bird of Paradise Lost,,Monster,DARK,Wyrm / Tuner / Effect,8,2700 / 1500,,,,,,
Dimension Force,,Secret Rare,Libromancer Fire,,Monster,FIRE,Cyberse / Effect,4,1800 / 1800,,,,,,
Galactic Overlord,,Common,Hieratic Dragon of Nebthet,,Monster,LIGHT,Dragon / Effect,5,2000 / 1600,,,,,,
Legacy of Darkness,,Common,Patrician of Darkness,,Monster,DARK,Zombie / Effect,5,2000 / 1400,,,,,,
Extreme Force,,Super Rare,Overtex Qoatlus,,Monster,DARK,Dinosaur / Effect,7,2700 / 2100,,,,,,
Light of Destruction,,Common,Cross Porter,,Monster,DARK,Warrior / Effect,2,400 / 400,,,,,,
Blazing Vortex,,Common,Armor Dragon Ritual,,Spell,,,,,,,,,,
Generation Force,,Rare,Curse of the Circle,,Trap,,,,,,,,,,
Rise of the Duelist,,Common,Dogmatika Punishment,,Trap,,,,,,,,,,
Generation Force,,Common,Crashbug Z,,Monster,DARK,Fiend / Effect,3,0 / 1500,,,,,,
Ancient Prophecy,,Rare,Reinforce Truth,,Trap,,,,,,,,,,
Extreme Force,,Rare,World Legacy Scars,,Spell,,,,,,,,,,
Rising Rampage,,Common,Rogue of Endymion,,Monster,FIRE,Spellcaster / Effect,3,1500 / 200,,,,,,
Primal Origin,,Ultra Rare,Artifact Sanctum,,Trap,,,,,,,,,,
The Shining Darkness,,Super Rare,Hydro Genex,,Monster,WATER,Machine / Synchro / Effect,6,2300 / 1800,,,,,,
Starstrike Blast,,Short Print,Vanity's Emptiness,,Trap,,,,,,,,,,
Eternity Code,,Ultra Rare,Archnemeses Protos,,Monster,DARK,Wyrm / Effect,11,2500 / 3000,,,,,,
Return of the Duelist,,Secret Rare,Miracle Contact,,Spell,,,,,,,,,,
Battle of Chaos,,Common,Shining Piecephilia,,Monster,LIGHT,Rock / Effect,4,700 / 2000,,,,,,
Labyrinth of Nightmare,,Common,Flame Dancer,,Monster,FIRE,Pyro,2,550 / 450,,,,,,
Dimension of Chaos,,Super Rare,The Legendary Fisherman III,,Monster,WATER,Warrior / Effect,7,2500 / 2000,,,,,,
Pharaonic Guardian,,Common,Gravekeeper's Cannonholder,,Monster,DARK,Spellcaster / Effect,4,1400 / 1200,,,,,,
Shining Victories,,Rare,Super Anti-Kaiju War Machine Mecha-Dogoran,,Monster,LIGHT,Machine / Effect,8,? / 2000,,,,,,
Phantom Darkness,,Super Rare,Escape from the Dark Dimension,,Trap,,,,,,,,,,
Lightning Overdrive,,Super Rare,Amazement Precious Park,,Spell,,,,,,,,,,
Metal Raiders,,Common,Skull Knight,,Monster,DARK,Spellcaster / Fusion,7,2650 / 2250,,,,,,
Phantom Darkness,,Secret Rare,Rainbow Neos,,Monster,LIGHT,Warrior / Fusion / Effect,10,4500 / 3000,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Samsara Dragon,,Monster,LIGHT,Dragon / Effect,1,0 / 0,,,,,,
Abyss Rising,,Secret Rare,Mermail Abyssmegalo,,Monster,WATER,Sea Serpent / Effect,7,2400 / 1900,,,,,,
Galactic Overlord,,Common,Morpho Butterspy,,Monster,DARK,Warrior / Effect,4,1200 / 1600,,,,,,
Lightning Overdrive,,Super Rare,Zexal Construction,,Spell,,,,,,,,,,
Battle of Chaos,,Ultra Rare,Master of Chaos,,Monster,DARK,Spellcaster / Fusion / Effect,8,3000 / 2500,,,,,,
Lord of the Tachyon Galaxy,,Common,Sonic Warrior,,Monster,WIND,Warrior / Effect,2,1000 / 0,,,,,,
Ancient Prophecy,,Common,Genetic Woman,,Monster,WIND,Psychic / Effect,4,1700 / 1200,,,,,,
The New Challengers,,Common,Shogi Lance,,Monster,EARTH,Beast-Warrior / Effect,3,500 / 500,,,,,,
Light of Destruction,,Super Rare,Light of Redemption,,Spell,,,,,,,,,,
Raging Tempest,,Ultra Rare,SPYGAL Misty,,Monster,DARK,Spellcaster / Effect,4,1500 / 1600,,,,,,
Flames of Destruction,,Rare,F.A. Overheat,,Trap,,,,,,,,,,
Starstrike Blast,,Super Rare,Blackback,,Trap,,,,,,,,,,
Eternity Code,,Super Rare,Armored Bitron,,Monster,DARK,Cyberse / Effect,2,500 / 0,,,,,,
Tactical Evolution,,Common,Venom Snake,,Monster,EARTH,Reptile / Effect,3,1200 / 600,,,,,,
Maximum Gold,,Rare,Scrap Recycler,,Monster,EARTH,Machine / Effect,3,900 / 1200,,,,,,
Chaos Impact,,Common,Dinowrestler Martial Ampelo,,Monster,EARTH,Dinosaur / Effect,1,600 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Secret Rare,Tri-Horned Dragon,,Monster,DARK,Dragon,8,2850 / 2350,,,,,,
Power of the Duelist,,Common,Black Stego,,Monster,EARTH,Dinosaur / Effect,4,1200 / 2000,,,,,,
Savage Strike,,Common,Extraceratops,,Monster,EARTH,Warrior / Effect,1,100 / 100,,,,,,
Dimension Force,,Super Rare,Patissciel Couverture,,Monster,DARK,Fairy / Fusion / Pendulum / Effect,5,1700 / 700,,,,,,
Legend of Blue Eyes White Dragon,,Common,M-Warrior #2,,Monster,EARTH,Warrior,3,500 / 1000,,,,,,
Metal Raiders,,Super Rare,Suijin,,Monster,WATER,Aqua / Effect,7,2500 / 2400,,,,,,
Absolute Powerforce,,Rare,Power Pickaxe,,Spell,,,,,,,,,,
Invasion of Chaos,,Common,Burning Algae,,Monster,FIRE,Pyro / Effect,3,500 / 1500,,,,,,
Dark Neostorm,,Common,Impcantation Thanatosis,,Spell,,,,,,,,,,
Gladiator's Assault,,Common,Gladiator Beast Bestiari,,Monster,WIND,Winged Beast / Effect,4,1500 / 800,,,,,,
Shadow of Infinity,,Common,Parasitic Ticky,,Monster,EARTH,Insect / Effect,1,? / ?,,,,,,
Legacy of the Valiant,,Rare,Bujingi Peacock,,Monster,LIGHT,Winged Beast / Effect,4,1800 / 700,,,,,,
Raging Battle,,Rare,Moja,,Monster,EARTH,Beast / Effect,1,100 / 100,,,,,,
Dawn of Majesty,,Ultra Rare,Despian Quaeritis,,Monster,LIGHT,Fiend / Fusion / Effect,8,2500 / 2500,,,,,,
The Dark Illusion,,Rare,Magical Something,,Monster,DARK,Spellcaster / Effect,4,1800 / 1300,,,,,,
The Duelist Genesis,,Common,Turbo Booster,,Monster,EARTH,Machine / Effect,1,0 / 0,,,,,,
Legacy of Darkness,,Rare,After the Struggle,After Genocide,Spell,,,,,,,,,,
Maximum Gold,,Rare,Brotherhood of the Fire Fist - Coyote,,Monster,FIRE,Beast-Warrior / Effect,5,2000 / 500,,,,,,
Primal Origin,,Super Rare,Vampire Vamp,,Monster,DARK,Zombie / Effect,7,2000 / 2000,,,,,,
Phantom Darkness,,Rare,Fires of Doomsday,,Spell,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Kitchen Dragonmaid,,Monster,FIRE,Dragon / Effect,3,500 / 1700,,,,,,
The Duelist Genesis,,Ultra Rare,Thought Ruler Archfiend,,Monster,DARK,Psychic / Synchro / Effect,8,2700 / 2300,,,,,,
Flames of Destruction,,Common,Background Dragon,,Monster,DARK,Dragon / Effect,5,1600 / 1800,,,,,,
The New Challengers,,Super Rare,Machina Megaform,,Monster,EARTH,Machine / Effect,8,2600 / 1500,,,,,,
Soul Fusion,,Common,Patchwork Fluffal,,Monster,EARTH,Fairy / Effect,1,0 / 0,,,,,,
Dawn of Majesty,,Common,Cosmic Slicer Zer'oll,,Monster,LIGHT,Reptile / Link / Effect,,,,,,,,
Code of the Duelist,,Common,Chosen by the World Chalice,,Monster,FIRE,Psychic / Normal,3,1600 / 0,,,,,,
The Dark Illusion,,Common,Magician's Robe,,Monster,DARK,Spellcaster / Effect,2,700 / 2000,,,,,,
Legacy of the Valiant,,Common,Luminous Dragon Ritual,,Spell,,,,,,,,,,
Cosmo Blazer,,Secret Rare,Noble Knight Medraut,,Monster,LIGHT,Warrior / Effect,4,1700 / 1000,,,,,,
Invasion of Chaos,,Common,Energy Drain,,Trap,,,,,,,,,,
Pharaonic Guardian,,Common,Nightmare Horse,,Monster,DARK,Zombie / Effect,2,500 / 400,,,,,,
Savage Strike,,Common,Clock Lizard,,Monster,DARK,Cyberse / Link / Effect,,,,,,,,
Extreme Victory,,Common,Scrap Kong,,Monster,EARTH,Beast / Effect,4,2000 / 1000,,,,,,
Legacy of the Valiant,,Rare,Number C69: Heraldry Crest of Horror,,Monster,LIGHT,Psychic / Xyz / Effect,,4000 / 1800,5,,,,,
Generation Force,,Common,Geargiano,,Monster,EARTH,Machine / Effect,3,500 / 1000,,,,,,
Rising Rampage,,Secret Rare,Witchcrafter Golem Aruru,,Monster,LIGHT,Spellcaster / Effect,8,2800 / 0,,,,,,
Legacy of the Valiant,,Common,Rose Witch,,Monster,EARTH,Plant / Effect,4,1600 / 1000,,,,,,
Light of Destruction,,Secret Rare,Honest,,Monster,LIGHT,Fairy / Effect,4,1100 / 1900,,,,,,
Order of Chaos,,Secret Rare,White Dragon Ninja,,Monster,LIGHT,Dragon / Effect,7,2700 / 1200,,,,,,
Extreme Victory,,Super Rare,T.G. Cyber Magician,,Monster,LIGHT,Spellcaster / Tuner / Effect,1,0 / 0,,,,,,
Invasion of Chaos,,Common,Fiend's Hand Mirror,,Trap,,,,,,,,,,
The New Challengers,,Common,SZW - Fenrir Sword,,Monster,LIGHT,Beast / Effect,4,1800 / 1100,,,,,,
Crimson Crisis,,Short Print,Assault Revival,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Fossil Warrior Skull Knight,,Monster,EARTH,Rock / Fusion / Effect,6,2400 / 1100,,,,,,
Crossroads of Chaos,,Short Print,The White Stone of Legend,,Monster,LIGHT,Dragon / Tuner / Effect,1,300 / 250,,,,,,
Gladiator's Assault,,Super Rare,Cloudian - Eye of the Typhoon,,Monster,WIND,Aqua / Effect,8,3000 / 1000,,,,,,
Stardust Overdrive,,Super Rare,Earthbound Whirlwind,,Spell,,,,,,,,,,
Stardust Overdrive,,Common,Spyder Spider,,Monster,EARTH,Insect / Effect,4,1500 / 1000,,,,,,
Secrets of Eternity,,Super Rare,Superheavy Samurai Trumpeter,,Monster,EARTH,Machine / Tuner / Effect,2,300 / 600,,,,,,
Primal Origin,,Super Rare,Escalation of the Monarchs,,Trap,,,,,,,,,,
Power of the Duelist,,Super Rare,Destiny HERO - Double Dude,Destiny Hero - Double Dude,Monster,DARK,Warrior / Effect,6,1000 / 1000,,,,,,
Gladiator's Assault,,Common,Gladiator Beast's Battle Halberd,,Spell,,,,,,,,,,
Chaos Impact,,Common,Salamangreat Burning Shell,,Spell,,,,,,,,,,
Soul Fusion,,Rare,Toll Hike,,Trap,,,,,,,,,,
Circuit Break,,Common,Krawler Spine,,Monster,EARTH,Insect / Flip / Effect,2,300 / 2100,,,,,,
Shining Victories,,Rare,Performapal Odd-Eyes Light Phoenix,,Monster,LIGHT,Winged Beast / Pendulum / Effect,5,2000 / 1000,,,,,,
Raging Battle,,Common,Black Whirlwind,,Spell,,,,,,,,,,
Soul Fusion,,Common,Salamangreat Falco,,Monster,FIRE,Cyberse / Effect,4,1200 / 1600,,,,,,
The Shining Darkness,,Ultra Rare,Cards for Black Feathers,,Spell,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Super Rare,Fleuret de Fleur,,Spell,,,,,,,,,,
Shining Victories,,Rare,"Thunder King, the Lightningstrike Kaiju",,Monster,LIGHT,Thunder / Effect,9,3300 / 2100,,,,,,
Pharaonic Guardian,,Common,Shapesnatch,,Monster,DARK,Machine,5,1200 / 1700,,,,,,
Legend of Blue Eyes White Dragon,,Common,Succubus Knight,,Monster,DARK,Warrior,5,1650 / 1300,,,,,,
The Shining Darkness,,Super Rare,Ally of Justice Light Gazer,,Monster,DARK,Machine / Synchro / Effect,8,2400 / 1600,,,,,,
Blazing Vortex,,Ultra Rare,Live☆Twin Lil-la Treat,,Monster,DARK,Zombie / Effect,2,500 / 0,,,,,,
Maximum Gold,,Premium Gold Rare,Ghost Sister & Spooky Dogwood,,Monster,WATER,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Crimson Crisis,,Common,Dupe Frog,,Monster,WATER,Aqua / Effect,2,100 / 2000,,,,,,
Photon Shockwave,,Super Rare,Number 83: Galaxy Queen,,Monster,DARK,Spellcaster / Xyz / Effect,,500 / 500,1,,,,,
Dimension of Chaos,,Secret Rare,Scarlight Red Dragon Archfiend,,Monster,DARK,Dragon / Synchro / Effect,8,3000 / 2500,,,,,,
Cybernetic Horizon,,Common,Crusadia Power,,Spell,,,,,,,,,,
Clash of Rebellions,,Rare,D/D/D Marksman King Tell,,Monster,DARK,Fiend / Xyz / Effect,,2300 / 2000,5,,,,,
Lord of the Tachyon Galaxy,,Common,Panther Shark,,Monster,WATER,Fish / Effect,5,1100 / 2000,,,,,,
Force of the Breaker,,Rare,Volcanic Shell,,Monster,FIRE,Pyro / Effect,1,100 / 0,,,,,,
Photon Shockwave,,Ultra Rare,Sergeant Electro,,Monster,FIRE,Machine / Effect,4,1600 / 1300,,,,,,
Magician's Force,,Rare,Cat's Ear Tribe,,Monster,EARTH,Beast-Warrior / Effect,1,200 / 100,,,,,,
Maximum Crisis ,,Rare,Pendulum Switch,,Trap,,,,,,,,,,
Burst of Destiny,,Super Rare,Swordsoul of Taia,,Monster,WIND,Wyrm / Effect,4,1800 / 1500,,,,,,
Flaming Eternity,,Super Rare,A Feather of the Phoenix,,Spell,,,,,,,,,,
Dimension Force,,Secret Rare,Illegal Knight,,Monster,DARK,Fiend / Effect,7,2000 / 2000,,,,,,
Phantom Rage,,Common,Dual Avatar Compact,,Trap,,,,,,,,,,
Flaming Eternity,,Super Rare,Lightning Vortex,,Spell,,,,,,,,,,
Primal Origin,,Super Rare,Number C107: Neo Galaxy-Eyes Tachyon Dragon,,Monster,LIGHT,Dragon / Xyz / Effect,,4500 / 3000,9,,,,,
The Dark Illusion,,Common,Paleozoic Pikaia,,Trap,,,,,,,,,,
Secrets of Eternity,,Common,Mischief of the Gnomes,,Trap,,,,,,,,,,
Absolute Powerforce,,Super Rare,The Dragon Dwelling in the Deep,,Monster,WATER,Sea Serpent / Effect,4,1700 / 1400,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Number 105: Battlin' Boxer Star Cestus,,Monster,FIRE,Warrior / Xyz / Effect,,2500 / 1600,4,,,,,
Crossed Souls,,Secret Rare,Galaxy Cyclone,,Spell,,,,,,,,,,
Burst of Destiny,,Common,Undaunted Bumpkin Beast,,Monster,FIRE,Beast / Effect,2,900 / 2000,,,,,,
Cyberdark Impact,,Common,Counter Cleaner,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Performapal Bit Bite Turtle,,Monster,WATER,Reptile / Pendulum / Effect,3,800 / 1200,,,,,,
Rising Rampage,,Secret Rare,"Apollousa, Bow of the Goddess",,Monster,WIND,Fairy / Link / Effect,,,,,,,,
Chaos Impact,,Rare,Salamangreat Transcendence,,Spell,,,,,,,,,,
Pharaonic Guardian,,Common,Inpachi,,Monster,EARTH,Machine,4,1600 / 1900,,,,,,
Pharaoh's Servant,,Common,Armored Glass,,Trap,,,,,,,,,,
Cybernetic Horizon,,Common,Gouki Tagpartner,,Monster,EARTH,Warrior / Effect,5,1700 / 0,,,,,,
Pharaoh's Servant,,Ultra Rare,Goblin Attack Force,,Monster,EARTH,Warrior / Effect,4,2300 / 0,,,,,,
Duelist Alliance,,Secret Rare,"Baxia, Brightness of the Yang Zing",,Monster,LIGHT,Wyrm / Synchro / Effect,8,2300 / 2600,,,,,,
Pharaoh's Servant,,Short Print,The Eye of Truth,,Trap,,,,,,,,,,
Abyss Rising,,Rare,Emperor of Prophecy,,Monster,DARK,Spellcaster / Effect,5,2300 / 2000,,,,,,
Battle of Chaos,,Ultra Rare,Sol and Luna,,Spell,,,,,,,,,,
Magician's Force,,Rare,Amazoness Tiger,,Monster,EARTH,Beast / Effect,4,1100 / 1500,,,,,,
Crimson Crisis,,Ultra Rare,Red Dragon Archfiend/Assault Mode,,Monster,DARK,Dragon / Effect,10,3500 / 2500,,,,,,
Duelist Revolution,,Common,Desperate Tag,,Trap,,,,,,,,,,
Crossroads of Chaos,,Secret Rare,Machine Lord Ür,,Monster,EARTH,Machine / Effect,4,1600 / 1500,,,,,,
The Dark Illusion,,Super Rare,Luna Light Perfume,,Spell,,,,,,,,,,
The Dark Illusion,,Super Rare,Magician of Dark Illusion,,Monster,DARK,Spellcaster / Effect,7,2100 / 2500,,,,,,
Order of Chaos,,Ultra Rare,Wind-Up Carrier Zenmaity,,Monster,WATER,Machine / Xyz / Effect,,1500 / 1500,3,,,,,
Cybernetic Horizon,,Short Print,Centerfrog,,Monster,WATER,Aqua / Effect,2,100 / 2000,,,,,,
Battle of Chaos,,Super Rare,Nordic Relic Hlidskjalf,,Spell,,,,,,,,,,
Absolute Powerforce,,Common,Serpent Suppression,,Trap,,,,,,,,,,
Cybernetic Horizon,,Super Rare,Crusadia Revival,,Spell,,,,,,,,,,
Ancient Sanctuary,,Common,Two Thousand Needles,,Monster,EARTH,Beast / Effect,5,2000 / 1800,,,,,,
Starstrike Blast,,Ultra Rare,"Gaia Drake, the Universal Force",,Monster,EARTH,Beast-Warrior / Fusion / Effect,10,3500 / 2800,,,,,,
Blazing Vortex,,Super Rare,Great Sand Sea - Gold Golgonda,,Spell,,,,,,,,,,
Soul Fusion,,Super Rare,Danger! Dogman!,,Monster,DARK,Beast-Warrior / Effect,7,2400 / 1000,,,,,,
Code of the Duelist,,Common,Performapal Trumpanda,,Monster,EARTH,Beast / Pendulum / Effect,3,800 / 800,,,,,,
Force of the Breaker,,Common,Field Barrier,,Spell,,,,,,,,,,
Clash of Rebellions,,Rare,Toon Cyber Dragon,,Monster,LIGHT,Machine / Toon / Effect,5,2100 / 1600,,,,,,
The Lost Millennium,,Common,Guardian Statue,,Monster,EARTH,Rock / Effect,4,800 / 1400,,,,,,
The Dark Illusion,,Rare,Triamid Hunter,,Monster,EARTH,Rock / Effect,3,1400 / 1100,,,,,,
Ancient Prophecy,,Common,Battle of the Elements,,Trap,,,,,,,,,,
Soul Fusion,,Super Rare,Danger! Mothman!,,Monster,DARK,Insect / Effect,4,1800 / 400,,,,,,
Rising Rampage,,Rare,Monk of the Tenyi,,Monster,EARTH,Wyrm / Link,,,,,,,,
Absolute Powerforce,,Common,Weeping Idol,,Monster,DARK,Rock / Effect,2,0 / 500,,,,,,
Enemy of Justice,,Common,Batteryman D,,Monster,LIGHT,Thunder / Effect,1,0 / 1900,,,,,,
Dimension of Chaos,,Common,Dark Contract with the Swamp King,,Spell,,,,,,,,,,
Magician's Force,,Ultra Rare,XY-Dragon Cannon,,Monster,LIGHT,Machine / Fusion / Effect,6,2200 / 1900,,,,,,
Battle of Chaos,,Common,Uradora of Fate,,Spell,,,,,,,,,,
Ignition Assault,,Common,Chronomaly Tuspa Rocket,,Monster,EARTH,Rock / Effect,4,1000 / 1000,,,,,,
Clash of Rebellions,,Rare,"Dogoran, the Mad Flame Kaiju",,Monster,FIRE,Dinosaur / Effect,8,3000 / 1200,,,,,,
Secrets of Eternity,,Rare,Nekroz Cycle,,Spell,,,,,,,,,,
Power of the Duelist,,Super Rare,Destiny HERO - Dogma,Destiny Hero - Dogma,Monster,DARK,Warrior / Effect,8,3400 / 2400,,,,,,
Pharaonic Guardian,,Rare,Jowls of Dark Demise,,Monster,WATER,Fiend / Effect,2,200 / 100,,,,,,
Maximum Crisis ,,Common,B.E.F. Zelos,,Spell,,,,,,,,,,
Legacy of the Valiant,,Secret Rare,Imperial Tombs of Necrovalley,,Trap,,,,,,,,,,
Maximum Crisis ,,Common,The Phantom Knights of Wrong Magnetring,,Trap,,,,,,,,,,
Abyss Rising,,Super Rare,Madolchepalooza,,Trap,,,,,,,,,,
Rise of Destiny,,Rare,Flint,,Spell,,,,,,,,,,
Clash of Rebellions,,Super Rare,Superheavy Samurai Ogre Shutendoji,,Monster,EARTH,Machine / Synchro / Effect,6,500 / 2500,,,,,,
The New Challengers,,Common,Deskbot 002,,Monster,EARTH,Machine / Effect,2,500 / 500,,,,,,
The Duelist Genesis,,Common,Mecha Bunny,,Monster,EARTH,Machine / Effect,2,800 / 100,,,,,,
Enemy of Justice,,Common,Grand Convergence,,Spell,,,,,,,,,,
The Shining Darkness,,Super Rare,ZERO-MAX,,Spell,,,,,,,,,,
Maximum Gold,,Rare,Shared Ride,,Spell,,,,,,,,,,
Chaos Impact,,Common,Old Mind,,Spell,,,,,,,,,,
Clash of Rebellions,,Secret Rare,Odd-Eyes Rebellion Dragon,,Monster,DARK,Dragon / Xyz / Pendulum / Effect,,3000 / 2500,7,,,,,
Ancient Prophecy,,Common,Slip of Fortune,,Trap,,,,,,,,,,
Savage Strike,,Secret Rare,Witch's Strike,,Trap,,,,,,,,,,
Ignition Assault,,Common,Megalith Phaleg,,Monster,EARTH,Rock / Ritual / Effect,8,2500 / 1200,,,,,,
Labyrinth of Nightmare,,Common,Collected Power,,Trap,,,,,,,,,,
Gladiator's Assault,,Common,Gambler of Legend,,Monster,DARK,Spellcaster / Effect,4,500 / 1400,,,,,,
Primal Origin,,Rare,Number 103: Ragnazero,,Monster,WATER,Fairy / Xyz / Effect,,2400 / 1200,4,,,,,
Pharaoh's Servant,,Super Rare,Backup Soldier,,Trap,,,,,,,,,,
Rising Rampage,,Rare,Tenyi Spirit - Shthana,,Monster,WATER,Wyrm / Effect,4,400 / 2000,,,,,,
Maximum Gold,,Rare,Traptrix Mantis,,Monster,EARTH,Insect / Effect,4,1500 / 1300,,,,,,
Legacy of Darkness,,Common,Winged Minion,,Monster,DARK,Fiend / Effect,2,700 / 700,,,,,,
Light of Destruction,,Secret Rare,Arcana Force EX - The Dark Ruler,,Monster,LIGHT,Fairy / Effect,10,4000 / 4000,,,,,,
